ds,y
2013-01-02 05:00:00,52467
2013-01-02 06:00:00,55817
2013-01-02 07:00:00,60786
2013-01-02 08:00:00,65500
2013-01-02 09:00:00,67682
2013-01-02 10:00:00,69360
2013-01-02 11:00:00,69823
2013-01-02 12:00:00,70726
2013-01-02 13:00:00,71065
2013-01-02 14:00:00,68981
2013-01-02 15:00:00,66745
2013-01-02 16:00:00,65314
2013-01-02 17:00:00,66221
2013-01-02 18:00:00,71924
2013-01-02 19:00:00,74504
2013-01-02 20:00:00,72250
2013-01-02 21:00:00,68012
2013-01-02 22:00:00,64478
2013-01-02 23:00:00,67437
2013-01-03 00:00:00,66174
2013-01-03 01:00:00,61350
2013-01-03 02:00:00,60507
2013-01-03 03:00:00,58199
2013-01-03 04:00:00,55804
2013-01-03 05:00:00,55932
2013-01-03 06:00:00,59021
2013-01-03 07:00:00,64130
2013-01-03 08:00:00,68769
2013-01-03 09:00:00,70261
2013-01-03 10:00:00,71499
2013-01-03 11:00:00,71873
2013-01-03 12:00:00,72740
2013-01-03 13:00:00,72579
2013-01-03 14:00:00,70738
2013-01-03 15:00:00,68765
2013-01-03 16:00:00,67282
2013-01-03 17:00:00,67834
2013-01-03 18:00:00,72429
2013-01-03 19:00:00,74649
2013-01-03 20:00:00,71765
2013-01-03 21:00:00,67414
2013-01-03 22:00:00,63613
2013-01-03 23:00:00,66334
2013-01-04 00:00:00,64948
2013-01-04 01:00:00,60196
2013-01-04 02:00:00,59062
2013-01-04 03:00:00,56809
2013-01-04 04:00:00,54476
2013-01-04 05:00:00,54507
2013-01-04 06:00:00,57502
2013-01-04 07:00:00,62345
2013-01-04 08:00:00,67186
2013-01-04 09:00:00,68785
2013-01-04 10:00:00,70304
2013-01-04 11:00:00,70618
2013-01-04 12:00:00,71688
2013-01-04 13:00:00,71860
2013-01-04 14:00:00,69654
2013-01-04 15:00:00,67739
2013-01-04 16:00:00,66019
2013-01-04 17:00:00,66271
2013-01-04 18:00:00,70700
2013-01-04 19:00:00,72462
2013-01-04 20:00:00,69629
2013-01-04 21:00:00,65632
2013-01-04 22:00:00,62355
2013-01-04 23:00:00,65201
2013-01-05 00:00:00,64139
2013-01-05 01:00:00,59131
2013-01-05 02:00:00,57827
2013-01-05 03:00:00,55130
2013-01-05 04:00:00,52410
2013-01-05 05:00:00,51221
2013-01-05 06:00:00,52422
2013-01-05 07:00:00,54496
2013-01-05 08:00:00,57010
2013-01-05 09:00:00,58812
2013-01-05 10:00:00,61355
2013-01-05 11:00:00,62622
2013-01-05 12:00:00,63937
2013-01-05 13:00:00,65839
2013-01-05 14:00:00,63074
2013-01-05 15:00:00,61211
2013-01-05 16:00:00,59740
2013-01-05 17:00:00,59991
2013-01-05 18:00:00,65099
2013-01-05 19:00:00,67367
2013-01-05 20:00:00,65541
2013-01-05 21:00:00,62312
2013-01-05 22:00:00,59609
2013-01-05 23:00:00,63572
2013-01-06 00:00:00,62806
2013-01-06 01:00:00,58185
2013-01-06 02:00:00,57168
2013-01-06 03:00:00,54487
2013-01-06 04:00:00,51736
2013-01-06 05:00:00,50431
2013-01-06 06:00:00,50769
2013-01-06 07:00:00,51947
2013-01-06 08:00:00,53431
2013-01-06 09:00:00,54912
2013-01-06 10:00:00,57816
2013-01-06 11:00:00,60032
2013-01-06 12:00:00,62176
2013-01-06 13:00:00,64379
2013-01-06 14:00:00,60711
2013-01-06 15:00:00,58139
2013-01-06 16:00:00,56792
2013-01-06 17:00:00,57467
2013-01-06 18:00:00,62649
2013-01-06 19:00:00,66237
2013-01-06 20:00:00,65875
2013-01-06 21:00:00,63244
2013-01-06 22:00:00,60381
2013-01-06 23:00:00,63306
2013-01-07 00:00:00,62302
2013-01-07 01:00:00,58157
2013-01-07 02:00:00,57650
2013-01-07 03:00:00,55611
2013-01-07 04:00:00,53462
2013-01-07 05:00:00,54014
2013-01-07 06:00:00,58324
2013-01-07 07:00:00,66328
2013-01-07 08:00:00,72113
2013-01-07 09:00:00,72529
2013-01-07 10:00:00,73114
2013-01-07 11:00:00,73442
2013-01-07 12:00:00,74401
2013-01-07 13:00:00,74372
2013-01-07 14:00:00,73262
2013-01-07 15:00:00,71367
2013-01-07 16:00:00,70093
2013-01-07 17:00:00,70890
2013-01-07 18:00:00,75766
2013-01-07 19:00:00,78804
2013-01-07 20:00:00,75351
2013-01-07 21:00:00,70567
2013-01-07 22:00:00,66598
2013-01-07 23:00:00,68978
2013-01-08 00:00:00,67639
2013-01-08 01:00:00,62950
2013-01-08 02:00:00,62289
2013-01-08 03:00:00,60127
2013-01-08 04:00:00,58216
2013-01-08 05:00:00,58678
2013-01-08 06:00:00,62689
2013-01-08 07:00:00,70858
2013-01-08 08:00:00,76228
2013-01-08 09:00:00,76441
2013-01-08 10:00:00,76675
2013-01-08 11:00:00,76971
2013-01-08 12:00:00,78041
2013-01-08 13:00:00,77797
2013-01-08 14:00:00,76226
2013-01-08 15:00:00,74303
2013-01-08 16:00:00,73367
2013-01-08 17:00:00,73817
2013-01-08 18:00:00,78647
2013-01-08 19:00:00,81372
2013-01-08 20:00:00,77920
2013-01-08 21:00:00,73255
2013-01-08 22:00:00,69042
2013-01-08 23:00:00,71385
2013-01-09 00:00:00,69614
2013-01-09 01:00:00,65319
2013-01-09 02:00:00,64513
2013-01-09 03:00:00,62103
2013-01-09 04:00:00,60271
2013-01-09 05:00:00,60529
2013-01-09 06:00:00,64360
2013-01-09 07:00:00,71730
2013-01-09 08:00:00,77105
2013-01-09 09:00:00,78430
2013-01-09 10:00:00,78606
2013-01-09 11:00:00,78661
2013-01-09 12:00:00,79806
2013-01-09 13:00:00,79311
2013-01-09 14:00:00,77990
2013-01-09 15:00:00,76135
2013-01-09 16:00:00,74869
2013-01-09 17:00:00,75422
2013-01-09 18:00:00,79562
2013-01-09 19:00:00,82005
2013-01-09 20:00:00,78703
2013-01-09 21:00:00,74061
2013-01-09 22:00:00,69666
2013-01-09 23:00:00,71925
2013-01-10 00:00:00,70362
2013-01-10 01:00:00,65928
2013-01-10 02:00:00,64884
2013-01-10 03:00:00,62724
2013-01-10 04:00:00,60319
2013-01-10 05:00:00,60320
2013-01-10 06:00:00,64145
2013-01-10 07:00:00,71733
2013-01-10 08:00:00,77238
2013-01-10 09:00:00,77095
2013-01-10 10:00:00,77081
2013-01-10 11:00:00,77042
2013-01-10 12:00:00,77676
2013-01-10 13:00:00,77047
2013-01-10 14:00:00,75370
2013-01-10 15:00:00,73653
2013-01-10 16:00:00,72270
2013-01-10 17:00:00,72558
2013-01-10 18:00:00,76749
2013-01-10 19:00:00,79661
2013-01-10 20:00:00,76358
2013-01-10 21:00:00,71710
2013-01-10 22:00:00,67579
2013-01-10 23:00:00,70025
2013-01-11 00:00:00,68515
2013-01-11 01:00:00,63936
2013-01-11 02:00:00,63251
2013-01-11 03:00:00,60932
2013-01-11 04:00:00,58991
2013-01-11 05:00:00,59259
2013-01-11 06:00:00,63329
2013-01-11 07:00:00,70956
2013-01-11 08:00:00,76985
2013-01-11 09:00:00,76771
2013-01-11 10:00:00,76433
2013-01-11 11:00:00,75502
2013-01-11 12:00:00,75203
2013-01-11 13:00:00,74437
2013-01-11 14:00:00,72358
2013-01-11 15:00:00,70074
2013-01-11 16:00:00,68673
2013-01-11 17:00:00,68744
2013-01-11 18:00:00,74496
2013-01-11 19:00:00,77279
2013-01-11 20:00:00,74526
2013-01-11 21:00:00,70726
2013-01-11 22:00:00,67632
2013-01-11 23:00:00,71011
2013-01-12 00:00:00,69860
2013-01-12 01:00:00,64865
2013-01-12 02:00:00,63922
2013-01-12 03:00:00,61369
2013-01-12 04:00:00,58685
2013-01-12 05:00:00,58130
2013-01-12 06:00:00,59504
2013-01-12 07:00:00,61826
2013-01-12 08:00:00,64592
2013-01-12 09:00:00,67021
2013-01-12 10:00:00,69490
2013-01-12 11:00:00,69305
2013-01-12 12:00:00,69826
2013-01-12 13:00:00,70932
2013-01-12 14:00:00,67695
2013-01-12 15:00:00,65413
2013-01-12 16:00:00,63876
2013-01-12 17:00:00,64082
2013-01-12 18:00:00,69157
2013-01-12 19:00:00,72086
2013-01-12 20:00:00,70403
2013-01-12 21:00:00,67269
2013-01-12 22:00:00,64849
2013-01-12 23:00:00,68416
2013-01-13 00:00:00,67925
2013-01-13 01:00:00,63819
2013-01-13 02:00:00,62837
2013-01-13 03:00:00,60055
2013-01-13 04:00:00,57243
2013-01-13 05:00:00,55960
2013-01-13 06:00:00,56523
2013-01-13 07:00:00,57480
2013-01-13 08:00:00,59150
2013-01-13 09:00:00,60949
2013-01-13 10:00:00,64571
2013-01-13 11:00:00,67016
2013-01-13 12:00:00,68797
2013-01-13 13:00:00,70588
2013-01-13 14:00:00,66923
2013-01-13 15:00:00,64365
2013-01-13 16:00:00,62799
2013-01-13 17:00:00,63327
2013-01-13 18:00:00,68358
2013-01-13 19:00:00,72465
2013-01-13 20:00:00,72441
2013-01-13 21:00:00,69566
2013-01-13 22:00:00,67134
2013-01-13 23:00:00,70488
2013-01-14 00:00:00,69414
2013-01-14 01:00:00,65653
2013-01-14 02:00:00,65441
2013-01-14 03:00:00,63658
2013-01-14 04:00:00,61631
2013-01-14 05:00:00,62475
2013-01-14 06:00:00,67056
2013-01-14 07:00:00,75042
2013-01-14 08:00:00,80735
2013-01-14 09:00:00,81289
2013-01-14 10:00:00,81665
2013-01-14 11:00:00,81771
2013-01-14 12:00:00,82490
2013-01-14 13:00:00,82123
2013-01-14 14:00:00,81206
2013-01-14 15:00:00,79604
2013-01-14 16:00:00,78693
2013-01-14 17:00:00,79317
2013-01-14 18:00:00,83974
2013-01-14 19:00:00,87328
2013-01-14 20:00:00,83829
2013-01-14 21:00:00,79388
2013-01-14 22:00:00,75179
2013-01-14 23:00:00,77776
2013-01-15 00:00:00,76172
2013-01-15 01:00:00,71358
2013-01-15 02:00:00,71098
2013-01-15 03:00:00,68669
2013-01-15 04:00:00,66641
2013-01-15 05:00:00,66871
2013-01-15 06:00:00,70831
2013-01-15 07:00:00,78145
2013-01-15 08:00:00,83089
2013-01-15 09:00:00,83164
2013-01-15 10:00:00,83757
2013-01-15 11:00:00,83966
2013-01-15 12:00:00,84453
2013-01-15 13:00:00,83825
2013-01-15 14:00:00,82196
2013-01-15 15:00:00,80213
2013-01-15 16:00:00,78941
2013-01-15 17:00:00,79145
2013-01-15 18:00:00,84274
2013-01-15 19:00:00,87732
2013-01-15 20:00:00,84445
2013-01-15 21:00:00,79832
2013-01-15 22:00:00,75619
2013-01-15 23:00:00,78387
2013-01-16 00:00:00,76373
2013-01-16 01:00:00,71810
2013-01-16 02:00:00,71753
2013-01-16 03:00:00,69713
2013-01-16 04:00:00,67719
2013-01-16 05:00:00,68118
2013-01-16 06:00:00,72246
2013-01-16 07:00:00,78580
2013-01-16 08:00:00,82821
2013-01-16 09:00:00,84217
2013-01-16 10:00:00,85001
2013-01-16 11:00:00,84806
2013-01-16 12:00:00,85274
2013-01-16 13:00:00,84259
2013-01-16 14:00:00,82311
2013-01-16 15:00:00,80509
2013-01-16 16:00:00,79496
2013-01-16 17:00:00,79969
2013-01-16 18:00:00,85377
2013-01-16 19:00:00,89607
2013-01-16 20:00:00,86320
2013-01-16 21:00:00,82157
2013-01-16 22:00:00,78245
2013-01-16 23:00:00,81136
2013-01-17 00:00:00,79948
2013-01-17 01:00:00,75941
2013-01-17 02:00:00,77499
2013-01-17 03:00:00,75452
2013-01-17 04:00:00,73189
2013-01-17 05:00:00,73475
2013-01-17 06:00:00,77735
2013-01-17 07:00:00,84405
2013-01-17 08:00:00,89232
2013-01-17 09:00:00,89327
2013-01-17 10:00:00,89721
2013-01-17 11:00:00,88879
2013-01-17 12:00:00,88706
2013-01-17 13:00:00,87636
2013-01-17 14:00:00,85524
2013-01-17 15:00:00,83126
2013-01-17 16:00:00,82148
2013-01-17 17:00:00,82704
2013-01-17 18:00:00,88375
2013-01-17 19:00:00,92629
2013-01-17 20:00:00,89589
2013-01-17 21:00:00,85029
2013-01-17 22:00:00,81173
2013-01-17 23:00:00,83995
2013-01-18 00:00:00,82453
2013-01-18 01:00:00,78175
2013-01-18 02:00:00,79902
2013-01-18 03:00:00,77429
2013-01-18 04:00:00,75211
2013-01-18 05:00:00,75220
2013-01-18 06:00:00,78711
2013-01-18 07:00:00,85417
2013-01-18 08:00:00,90236
2013-01-18 09:00:00,90861
2013-01-18 10:00:00,91472
2013-01-18 11:00:00,91528
2013-01-18 12:00:00,92187
2013-01-18 13:00:00,91681
2013-01-18 14:00:00,89490
2013-01-18 15:00:00,87137
2013-01-18 16:00:00,85354
2013-01-18 17:00:00,85049
2013-01-18 18:00:00,89315
2013-01-18 19:00:00,91557
2013-01-18 20:00:00,87840
2013-01-18 21:00:00,82889
2013-01-18 22:00:00,79135
2013-01-18 23:00:00,82126
2013-01-19 00:00:00,80421
2013-01-19 01:00:00,75452
2013-01-19 02:00:00,75482
2013-01-19 03:00:00,72407
2013-01-19 04:00:00,69689
2013-01-19 05:00:00,68314
2013-01-19 06:00:00,69260
2013-01-19 07:00:00,71115
2013-01-19 08:00:00,74009
2013-01-19 09:00:00,76478
2013-01-19 10:00:00,79332
2013-01-19 11:00:00,80252
2013-01-19 12:00:00,81546
2013-01-19 13:00:00,82866
2013-01-19 14:00:00,79713
2013-01-19 15:00:00,77385
2013-01-19 16:00:00,75988
2013-01-19 17:00:00,75957
2013-01-19 18:00:00,79787
2013-01-19 19:00:00,82393
2013-01-19 20:00:00,79975
2013-01-19 21:00:00,76131
2013-01-19 22:00:00,73560
2013-01-19 23:00:00,77248
2013-01-20 00:00:00,76574
2013-01-20 01:00:00,72535
2013-01-20 02:00:00,71385
2013-01-20 03:00:00,68818
2013-01-20 04:00:00,65858
2013-01-20 05:00:00,64571
2013-01-20 06:00:00,64975
2013-01-20 07:00:00,65873
2013-01-20 08:00:00,67337
2013-01-20 09:00:00,69400
2013-01-20 10:00:00,72635
2013-01-20 11:00:00,75068
2013-01-20 12:00:00,76783
2013-01-20 13:00:00,78262
2013-01-20 14:00:00,74398
2013-01-20 15:00:00,71599
2013-01-20 16:00:00,70196
2013-01-20 17:00:00,70422
2013-01-20 18:00:00,74937
2013-01-20 19:00:00,79675
2013-01-20 20:00:00,79262
2013-01-20 21:00:00,76453
2013-01-20 22:00:00,73307
2013-01-20 23:00:00,76552
2013-01-21 00:00:00,75130
2013-01-21 01:00:00,71295
2013-01-21 02:00:00,71085
2013-01-21 03:00:00,68984
2013-01-21 04:00:00,66699
2013-01-21 05:00:00,66935
2013-01-21 06:00:00,71093
2013-01-21 07:00:00,77417
2013-01-21 08:00:00,82047
2013-01-21 09:00:00,82674
2013-01-21 10:00:00,83437
2013-01-21 11:00:00,83367
2013-01-21 12:00:00,83897
2013-01-21 13:00:00,83773
2013-01-21 14:00:00,82561
2013-01-21 15:00:00,80627
2013-01-21 16:00:00,79342
2013-01-21 17:00:00,79360
2013-01-21 18:00:00,83468
2013-01-21 19:00:00,87724
2013-01-21 20:00:00,84188
2013-01-21 21:00:00,79413
2013-01-21 22:00:00,75190
2013-01-21 23:00:00,77605
2013-01-22 00:00:00,76236
2013-01-22 01:00:00,71986
2013-01-22 02:00:00,72637
2013-01-22 03:00:00,70376
2013-01-22 04:00:00,68165
2013-01-22 05:00:00,68240
2013-01-22 06:00:00,71996
2013-01-22 07:00:00,79496
2013-01-22 08:00:00,84210
2013-01-22 09:00:00,84627
2013-01-22 10:00:00,84615
2013-01-22 11:00:00,83885
2013-01-22 12:00:00,84343
2013-01-22 13:00:00,83610
2013-01-22 14:00:00,82002
2013-01-22 15:00:00,80084
2013-01-22 16:00:00,78636
2013-01-22 17:00:00,78756
2013-01-22 18:00:00,83088
2013-01-22 19:00:00,87316
2013-01-22 20:00:00,83937
2013-01-22 21:00:00,78948
2013-01-22 22:00:00,75002
2013-01-22 23:00:00,77472
2013-01-23 00:00:00,76116
2013-01-23 01:00:00,71784
2013-01-23 02:00:00,71699
2013-01-23 03:00:00,69478
2013-01-23 04:00:00,67081
2013-01-23 05:00:00,67275
2013-01-23 06:00:00,71145
2013-01-23 07:00:00,77502
2013-01-23 08:00:00,81852
2013-01-23 09:00:00,83243
2013-01-23 10:00:00,83870
2013-01-23 11:00:00,84023
2013-01-23 12:00:00,84638
2013-01-23 13:00:00,84105
2013-01-23 14:00:00,82527
2013-01-23 15:00:00,80462
2013-01-23 16:00:00,79063
2013-01-23 17:00:00,78772
2013-01-23 18:00:00,82548
2013-01-23 19:00:00,86620
2013-01-23 20:00:00,83097
2013-01-23 21:00:00,78423
2013-01-23 22:00:00,74356
2013-01-23 23:00:00,76965
2013-01-24 00:00:00,75689
2013-01-24 01:00:00,71682
2013-01-24 02:00:00,72189
2013-01-24 03:00:00,70106
2013-01-24 04:00:00,67692
2013-01-24 05:00:00,67935
2013-01-24 06:00:00,71683
2013-01-24 07:00:00,78465
2013-01-24 08:00:00,82729
2013-01-24 09:00:00,82612
2013-01-24 10:00:00,82894
2013-01-24 11:00:00,83042
2013-01-24 12:00:00,83792
2013-01-24 13:00:00,83078
2013-01-24 14:00:00,81422
2013-01-24 15:00:00,79616
2013-01-24 16:00:00,78516
2013-01-24 17:00:00,78841
2013-01-24 18:00:00,83369
2013-01-24 19:00:00,87850
2013-01-24 20:00:00,84653
2013-01-24 21:00:00,80307
2013-01-24 22:00:00,76273
2013-01-24 23:00:00,79323
2013-01-25 00:00:00,77950
2013-01-25 01:00:00,74235
2013-01-25 02:00:00,75693
2013-01-25 03:00:00,73573
2013-01-25 04:00:00,71308
2013-01-25 05:00:00,71582
2013-01-25 06:00:00,75369
2013-01-25 07:00:00,82391
2013-01-25 08:00:00,87259
2013-01-25 09:00:00,87168
2013-01-25 10:00:00,87500
2013-01-25 11:00:00,86902
2013-01-25 12:00:00,87144
2013-01-25 13:00:00,86547
2013-01-25 14:00:00,84101
2013-01-25 15:00:00,81535
2013-01-25 16:00:00,80377
2013-01-25 17:00:00,79837
2013-01-25 18:00:00,84392
2013-01-25 19:00:00,88434
2013-01-25 20:00:00,85305
2013-01-25 21:00:00,81442
2013-01-25 22:00:00,78154
2013-01-25 23:00:00,81248
2013-01-26 00:00:00,79900
2013-01-26 01:00:00,74927
2013-01-26 02:00:00,75232
2013-01-26 03:00:00,72522
2013-01-26 04:00:00,69494
2013-01-26 05:00:00,68441
2013-01-26 06:00:00,69363
2013-01-26 07:00:00,71524
2013-01-26 08:00:00,74090
2013-01-26 09:00:00,76420
2013-01-26 10:00:00,78583
2013-01-26 11:00:00,78495
2013-01-26 12:00:00,78649
2013-01-26 13:00:00,78937
2013-01-26 14:00:00,75177
2013-01-26 15:00:00,72335
2013-01-26 16:00:00,70301
2013-01-26 17:00:00,69863
2013-01-26 18:00:00,74113
2013-01-26 19:00:00,78627
2013-01-26 20:00:00,77189
2013-01-26 21:00:00,73536
2013-01-26 22:00:00,70833
2013-01-26 23:00:00,75082
2013-01-27 00:00:00,74295
2013-01-27 01:00:00,70562
2013-01-27 02:00:00,69369
2013-01-27 03:00:00,66685
2013-01-27 04:00:00,63601
2013-01-27 05:00:00,62065
2013-01-27 06:00:00,62306
2013-01-27 07:00:00,62985
2013-01-27 08:00:00,64087
2013-01-27 09:00:00,65944
2013-01-27 10:00:00,68758
2013-01-27 11:00:00,70803
2013-01-27 12:00:00,71819
2013-01-27 13:00:00,72978
2013-01-27 14:00:00,68553
2013-01-27 15:00:00,65340
2013-01-27 16:00:00,63449
2013-01-27 17:00:00,63331
2013-01-27 18:00:00,67411
2013-01-27 19:00:00,72841
2013-01-27 20:00:00,72705
2013-01-27 21:00:00,70067
2013-01-27 22:00:00,67202
2013-01-27 23:00:00,70104
2013-01-28 00:00:00,69318
2013-01-28 01:00:00,65777
2013-01-28 02:00:00,65313
2013-01-28 03:00:00,63672
2013-01-28 04:00:00,61735
2013-01-28 05:00:00,62108
2013-01-28 06:00:00,66376
2013-01-28 07:00:00,74107
2013-01-28 08:00:00,79718
2013-01-28 09:00:00,79618
2013-01-28 10:00:00,79194
2013-01-28 11:00:00,78063
2013-01-28 12:00:00,77846
2013-01-28 13:00:00,76938
2013-01-28 14:00:00,75447
2013-01-28 15:00:00,73278
2013-01-28 16:00:00,72121
2013-01-28 17:00:00,72013
2013-01-28 18:00:00,75992
2013-01-28 19:00:00,81598
2013-01-28 20:00:00,78509
2013-01-28 21:00:00,73741
2013-01-28 22:00:00,69442
2013-01-28 23:00:00,72020
2013-01-29 00:00:00,70652
2013-01-29 01:00:00,66214
2013-01-29 02:00:00,65579
2013-01-29 03:00:00,63424
2013-01-29 04:00:00,60675
2013-01-29 05:00:00,61056
2013-01-29 06:00:00,64838
2013-01-29 07:00:00,72454
2013-01-29 08:00:00,77305
2013-01-29 09:00:00,77122
2013-01-29 10:00:00,77146
2013-01-29 11:00:00,77003
2013-01-29 12:00:00,77662
2013-01-29 13:00:00,76838
2013-01-29 14:00:00,75620
2013-01-29 15:00:00,73375
2013-01-29 16:00:00,71629
2013-01-29 17:00:00,71088
2013-01-29 18:00:00,74224
2013-01-29 19:00:00,78574
2013-01-29 20:00:00,75075
2013-01-29 21:00:00,70489
2013-01-29 22:00:00,66270
2013-01-29 23:00:00,68486
2013-01-30 00:00:00,66854
2013-01-30 01:00:00,62399
2013-01-30 02:00:00,61491
2013-01-30 03:00:00,59202
2013-01-30 04:00:00,56957
2013-01-30 05:00:00,56923
2013-01-30 06:00:00,60445
2013-01-30 07:00:00,67579
2013-01-30 08:00:00,72072
2013-01-30 09:00:00,72913
2013-01-30 10:00:00,73082
2013-01-30 11:00:00,72545
2013-01-30 12:00:00,72937
2013-01-30 13:00:00,71659
2013-01-30 14:00:00,69679
2013-01-30 15:00:00,67613
2013-01-30 16:00:00,65713
2013-01-30 17:00:00,65057
2013-01-30 18:00:00,68484
2013-01-30 19:00:00,74605
2013-01-30 20:00:00,72081
2013-01-30 21:00:00,67358
2013-01-30 22:00:00,63635
2013-01-30 23:00:00,66377
2013-01-31 00:00:00,65668
2013-01-31 01:00:00,61471
2013-01-31 02:00:00,60935
2013-01-31 03:00:00,58982
2013-01-31 04:00:00,57006
2013-01-31 05:00:00,57168
2013-01-31 06:00:00,60919
2013-01-31 07:00:00,68415
2013-01-31 08:00:00,73556
2013-01-31 09:00:00,73254
2013-01-31 10:00:00,72981
2013-01-31 11:00:00,72294
2013-01-31 12:00:00,72521
2013-01-31 13:00:00,71466
2013-01-31 14:00:00,69897
2013-01-31 15:00:00,67954
2013-01-31 16:00:00,66415
2013-01-31 17:00:00,66008
2013-01-31 18:00:00,69230
2013-01-31 19:00:00,74806
2013-01-31 20:00:00,71766
2013-01-31 21:00:00,67267
2013-01-31 22:00:00,63469
2013-01-31 23:00:00,65745
2013-02-01 00:00:00,64612
2013-02-01 01:00:00,60042
2013-02-01 02:00:00,59435
2013-02-01 03:00:00,57215
2013-02-01 04:00:00,55026
2013-02-01 05:00:00,55266
2013-02-01 06:00:00,58629
2013-02-01 07:00:00,65819
2013-02-01 08:00:00,71127
2013-02-01 09:00:00,71258
2013-02-01 10:00:00,71408
2013-02-01 11:00:00,71476
2013-02-01 12:00:00,72362
2013-02-01 13:00:00,72020
2013-02-01 14:00:00,69933
2013-02-01 15:00:00,68401
2013-02-01 16:00:00,66819
2013-02-01 17:00:00,66230
2013-02-01 18:00:00,69412
2013-02-01 19:00:00,73317
2013-02-01 20:00:00,70437
2013-02-01 21:00:00,66346
2013-02-01 22:00:00,63056
2013-02-01 23:00:00,66347
2013-02-02 00:00:00,65330
2013-02-02 01:00:00,60543
2013-02-02 02:00:00,59410
2013-02-02 03:00:00,57009
2013-02-02 04:00:00,54741
2013-02-02 05:00:00,54147
2013-02-02 06:00:00,55595
2013-02-02 07:00:00,58082
2013-02-02 08:00:00,61054
2013-02-02 09:00:00,63542
